"FF(drhov), created by Plot Digitizer, 2.5.1"
"Date: 3/27/17, 11:18:47 AM"


10
drhov,FF
4.93046,0.0516301
7.86899,0.0293590
14.6767,0.0146055
24.6729,0.00824383
36.2912,0.00531871
3.61021,0.0754083
10.8267,0.0208619
19.4577,0.0109323
5.76188,0.0435221
28.6203,0.00705321
