"FF(drhov), created by Plot Digitizer, 2.5.1"
"Date: 3/27/17, 11:22:31 AM"


10
drhov,FF
3.42747,0.242031
3.88830,0.169446
4.85782,0.102253
6.11430,0.0700102
8.41248,0.0445028
13.2285,0.0260693
24.3094,0.0125893
34.9694,0.00868380
45.3402,0.00659713
72.9019,0.00419354
